query-id	corpus-id	score
3540	0	1
3540	1	1
3540	2	1
21929	3	1
21929	0	1
21929	1	1
21929	2	1
15583	6	1
15583	0	1
15583	1	1
15583	2	1
15940	4	1
15940	2	1
15940	5	1
15275	3	1
15275	0	1
15275	1	1
15275	2	1
9476	0	1
9476	2	1
9476	5	1
12361	7	1
12361	8	1
12361	9	1
12361	10	1
20067	8	1
20067	9	1
20067	10	1
20563	7	1
20563	8	1
20563	9	1
20563	10	1
820	8	1
820	9	1
820	10	1
4637	8	1
4637	9	1
4637	10	1
8505	8	1
8505	9	1
8505	10	1
21609	8	1
21609	9	1
21609	10	1
16179	11	1
16179	8	1
16179	9	1
16179	10	1
17494	8	1
17494	9	1
17494	10	1
7545	7	1
7545	8	1
7545	9	1
7545	10	1
12811	12	1
12811	13	1
12811	14	1
2572	15	1
2572	16	1
15965	17	1
15965	15	1
15965	16	1
20615	17	1
20615	13	1
17511	17	1
17511	14	1
23606	12	1
23606	13	1
23606	14	1
19530	17	1
19530	13	1
19530	14	1
13453	17	1
13453	13	1
13453	14	1
12622	18	1
12622	19	1
12709	20	1
12709	21	1
8810	20	1
8810	19	1
20383	20	1
20383	21	1
18961	20	1
18961	22	1
3653	20	1
3653	21	1
18517	20	1
18517	23	1
4748	24	1
4748	26	1
10129	24	1
10129	26	1
13023	27	1
13023	28	1
2432	27	1
2432	29	1
2432	28	1
14275	27	1
14275	29	1
14275	28	1
23657	27	1
23657	29	1
23657	28	1
4099	27	1
4099	29	1
4099	28	1
11001	27	1
11001	29	1
11001	28	1
13837	27	1
13837	29	1
13837	28	1
19173	27	1
19173	29	1
19173	28	1
15294	27	1
15294	29	1
15294	28	1
17205	27	1
17205	29	1
17205	28	1
23252	27	1
23252	29	1
23252	28	1
15791	27	1
15791	28	1
1103	27	1
1103	31	1
18297	27	1
18297	28	1
18297	29	1
21978	27	1
21978	28	1
21978	29	1
3816	27	1
3816	32	1
3816	33	1
15172	27	1
15172	32	1
15172	33	1
7132	27	1
7132	32	1
7132	33	1
22639	34	1
22639	27	1
22902	35	1
22902	27	1
20715	34	1
20715	27	1
21868	36	1
21868	27	1
17836	35	1
17836	27	1
7893	34	1
7893	27	1
21297	37	1
21297	38	1
19934	37	1
19934	38	1
23068	37	1
23068	38	1
3296	37	1
3296	38	1
852	37	1
852	38	1
5109	39	1
5109	40	1
5109	41	1
9797	39	1
9797	40	1
9797	41	1
20854	39	1
20854	40	1
20854	41	1
7144	41	1
7144	39	1
15344	41	1
15344	39	1
9619	41	1
9619	39	1
6824	41	1
6824	39	1
19306	41	1
19306	39	1
15207	42	1
15207	43	1
15207	44	1
23185	42	1
23185	43	1
23185	44	1
19685	42	1
19685	43	1
19685	44	1
18996	42	1
18996	43	1
18996	44	1
17812	42	1
17812	43	1
17812	44	1
8964	42	1
8964	43	1
8964	44	1
11195	42	1
11195	43	1
11195	44	1
20248	42	1
20248	43	1
20248	44	1
1042	42	1
1042	43	1
1042	44	1
5829	45	1
5829	42	1
17761	42	1
17761	43	1
14807	42	1
14807	43	1
16113	45	1
16113	42	1
2357	42	1
2357	43	1
534	42	1
534	43	1
231	45	1
231	42	1
15901	42	1
15901	43	1
17677	45	1
17677	42	1
14340	46	1
14340	47	1
14340	48	1
14340	42	1
12737	46	1
12737	47	1
12737	48	1
12737	42	1
2495	46	1
2495	47	1
2495	48	1
2495	42	1
14554	46	1
14554	47	1
14554	48	1
14554	42	1
21016	46	1
21016	47	1
21016	48	1
21016	42	1
13824	49	1
13824	50	1
11973	49	1
11973	50	1
7330	51	1
7330	52	1
7330	53	1
21164	51	1
21164	54	1
5070	51	1
5070	52	1
5070	53	1
13951	55	1
13951	56	1
13951	57	1
8795	57	1
8795	58	1
8795	59	1
13574	55	1
13574	60	1
13574	57	1
12076	61	1
12076	60	1
7474	62	1
7474	63	1
7474	64	1
15070	61	1
15070	63	1
15070	64	1
13006	62	1
13006	63	1
13006	65	1
9257	61	1
9257	60	1
17772	61	1
17772	63	1
17772	65	1
11891	62	1
11891	63	1
11891	64	1
2220	61	1
2220	65	1
2102	66	1
2102	67	1
2102	68	1
10473	69	1
10473	67	1
3649	66	1
3649	67	1
226	66	1
226	67	1
226	68	1
11190	66	1
11190	71	1
11190	67	1
4054	66	1
4054	67	1
12307	66	1
12307	67	1
21894	72	1
21894	67	1
21894	70	1
13772	71	1
13772	66	1
3112	67	1
3112	70	1
9663	71	1
9663	66	1
1104	67	1
1104	70	1
6840	67	1
6840	70	1
4378	71	1
4378	66	1
7216	67	1
7216	70	1
4148	72	1
4148	67	1
4148	70	1
923	76	1
923	77	1
923	78	1
2627	73	1
2627	79	1
2627	75	1
6420	77	1
6420	74	1
6420	75	1
21874	73	1
21874	74	1
21874	75	1
5464	73	1
5464	78	1
5464	75	1
18698	73	1
18698	79	1
18698	75	1
9473	73	1
9473	74	1
9473	75	1
9768	73	1
9768	78	1
9768	75	1
14829	77	1
14829	74	1
14829	75	1
10520	80	1
10520	81	1
7099	82	1
7099	83	1
13817	82	1
13817	84	1
19378	85	1
19378	86	1
19168	80	1
19168	81	1
6405	87	1
6405	81	1
11650	80	1
11650	81	1
1261	80	1
1261	81	1
19691	75	1
19691	88	1
19691	89	1
18955	75	1
18955	90	1
18955	91	1
16332	92	1
16332	93	1
16332	94	1
7600	92	1
7600	73	1
7600	95	1
7600	96	1
12579	85	1
12579	95	1
12579	97	1
12579	98	1
8162	92	1
8162	73	1
8162	85	1
8162	95	1
18481	92	1
18481	73	1
18481	85	1
18481	96	1
1998	92	1
1998	73	1
1998	95	1
1998	98	1
13858	92	1
13858	73	1
13858	85	1
13858	95	1
22463	92	1
22463	73	1
22463	85	1
22463	95	1
6115	85	1
6115	82	1
6115	87	1
2450	85	1
2450	82	1
2450	87	1
16357	85	1
16357	99	1
16357	87	1
5828	85	1
5828	100	1
5828	87	1
20971	85	1
20971	101	1
20971	87	1
21696	82	1
21696	102	1
21696	87	1
14854	96	1
14854	95	1
14854	103	1
14854	97	1
16720	95	1
16720	97	1
19537	96	1
19537	95	1
19537	104	1
19537	103	1
16257	81	1
16257	104	1
5714	96	1
5714	95	1
5714	103	1
5714	97	1
21374	81	1
21374	104	1
16915	96	1
16915	95	1
16915	103	1
16915	97	1
18836	96	1
18836	95	1
18836	103	1
18836	97	1
8623	95	1
8623	97	1
23618	87	1
23618	105	1
7281	108	1
7281	88	1
7281	91	1
1425	81	1
1425	75	1
1425	82	1
1425	77	1
2596	75	1
2596	109	1
2596	110	1
20203	75	1
20203	82	1
14629	81	1
14629	88	1
14629	82	1
12410	75	1
12410	82	1
20115	75	1
20115	82	1
1278	75	1
1278	82	1
4087	75	1
4087	82	1
22620	75	1
22620	82	1
9647	76	1
9647	105	1
9647	111	1
18089	76	1
18089	105	1
18089	111	1
8492	105	1
8492	75	1
8492	81	1
851	105	1
851	75	1
851	88	1
6106	76	1
6106	105	1
6106	111	1
11663	105	1
11663	75	1
11663	81	1
21311	76	1
21311	105	1
21311	111	1
22975	105	1
22975	75	1
22975	88	1
21939	75	1
21939	81	1
21939	82	1
21939	92	1
20184	104	1
20184	95	1
7174	112	1
7174	75	1
13058	104	1
13058	95	1
9835	89	1
9835	75	1
20071	89	1
20071	75	1
3233	89	1
3233	75	1
749	112	1
749	75	1
828	89	1
828	75	1
6386	112	1
6386	75	1
12282	87	1
12282	76	1
12282	113	1
15531	87	1
15531	76	1
15531	113	1
4871	87	1
4871	76	1
4871	113	1
23677	87	1
23677	76	1
23677	113	1
19082	87	1
19082	76	1
19082	113	1
8356	88	1
8356	95	1
8356	98	1
8356	97	1
22990	88	1
22990	95	1
22990	98	1
22990	97	1
2260	88	1
2260	95	1
2260	98	1
2260	97	1
14977	88	1
14977	95	1
14977	98	1
14977	97	1
13979	88	1
13979	95	1
13979	98	1
13979	97	1
23279	88	1
23279	95	1
23279	98	1
23279	97	1
12755	88	1
12755	95	1
12755	98	1
12755	97	1
20819	88	1
20819	95	1
20819	98	1
20819	97	1
4393	88	1
4393	95	1
4393	98	1
4393	97	1
11745	99	1
11745	114	1
11114	105	1
11114	115	1
20370	73	1
20370	115	1
11839	99	1
11839	114	1
11280	99	1
11280	115	1
13669	99	1
13669	116	1
1266	76	1
1266	116	1
23172	99	1
23172	117	1
7788	118	1
7788	119	1
7788	120	1
7788	121	1
5489	118	1
5489	119	1
5489	120	1
5489	121	1
22567	118	1
22567	119	1
22567	120	1
22567	121	1
2839	118	1
2839	119	1
2839	120	1
2839	121	1
5712	118	1
5712	119	1
5712	120	1
5712	121	1
23730	118	1
23730	119	1
23730	120	1
23730	121	1
23054	118	1
23054	119	1
23054	120	1
23054	121	1
12484	118	1
12484	119	1
12484	120	1
12484	121	1
20303	118	1
20303	119	1
20303	120	1
20303	121	1
19366	118	1
19366	119	1
19366	120	1
19366	121	1
23331	122	1
23331	123	1
2070	124	1
2070	122	1
2070	125	1
22535	122	1
22535	123	1
6536	123	1
6536	125	1
6751	126	1
6751	124	1
6751	125	1
2344	126	1
2344	122	1
2344	123	1
1039	123	1
1039	125	1
295	126	1
295	124	1
295	122	1
295	125	1
12095	126	1
12095	124	1
12095	122	1
12095	123	1
10788	127	1
10788	128	1
10788	125	1
10971	129	1
10971	125	1
10971	123	1
20118	127	1
20118	125	1
20118	123	1
18501	129	1
18501	125	1
18501	123	1
5776	127	1
5776	128	1
5776	125	1
13598	129	1
13598	125	1
13598	123	1
19962	127	1
19962	128	1
19962	125	1
3303	129	1
3303	125	1
3303	123	1
15602	127	1
15602	125	1
15602	123	1
5143	130	1
5143	131	1
19695	130	1
19695	131	1
23685	130	1
23685	131	1
17271	130	1
17271	131	1
14337	132	1
14337	133	1
14337	134	1
9468	135	1
9468	137	1
9468	136	1
19808	135	1
19808	137	1
19808	133	1
9875	135	1
9875	137	1
9875	136	1
9900	135	1
9900	133	1
9900	136	1
9060	135	1
9060	132	1
9060	136	1
20881	138	1
20881	133	1
18830	138	1
18830	139	1
21084	138	1
21084	133	1
7365	138	1
7365	139	1
19153	138	1
19153	133	1
17722	138	1
17722	133	1
11460	138	1
11460	139	1
13991	138	1
13991	139	1
12727	138	1
12727	133	1
17285	132	1
17285	140	1
17285	135	1
17285	141	1
6990	133	1
6990	142	1
6990	140	1
14761	139	1
14761	141	1
9919	136	1
9919	137	1
15155	136	1
15155	137	1
5192	136	1
5192	137	1
9984	136	1
9984	137	1
14214	136	1
14214	137	1
22494	143	1
22494	144	1
22494	145	1
22494	135	1
12537	145	1
12537	135	1
4248	143	1
4248	144	1
4248	145	1
4248	135	1
1964	145	1
1964	135	1
11168	145	1
11168	135	1
12584	143	1
12584	144	1
12584	145	1
12584	135	1
7647	145	1
7647	135	1
10662	133	1
10662	139	1
10662	137	1
15717	139	1
15717	146	1
15717	147	1
17822	138	1
17822	148	1
17822	137	1
12068	139	1
12068	141	1
12068	135	1
18013	139	1
18013	141	1
18013	135	1
16000	139	1
16000	141	1
16000	137	1
178	133	1
178	139	1
178	149	1
8400	139	1
8400	148	1
8400	137	1
7852	139	1
7852	141	1
7852	135	1
7446	150	1
7446	135	1
5620	150	1
5620	151	1
5620	135	1
8525	150	1
8525	152	1
8525	135	1
12385	150	1
12385	143	1
12385	135	1
15650	145	1
15650	138	1
15650	153	1
8530	145	1
8530	135	1
14899	145	1
14899	137	1
3047	145	1
3047	137	1
3357	145	1
3357	135	1
2214	138	1
2214	139	1
2214	135	1
12247	133	1
12247	137	1
12247	135	1
5357	138	1
5357	139	1
5357	133	1
7628	139	1
7628	133	1
7628	135	1
1276	138	1
1276	139	1
1276	133	1
3898	138	1
3898	139	1
3898	133	1
3898	137	1
21310	139	1
21310	133	1
21310	135	1
16264	138	1
16264	139	1
16264	137	1
5493	138	1
5493	139	1
5493	135	1
2902	138	1
2902	133	1
2902	137	1
2460	138	1
2460	135	1
2460	137	1
2460	133	1
7518	154	1
7518	145	1
7518	133	1
10390	138	1
10390	135	1
10390	137	1
10390	133	1
17501	154	1
17501	145	1
17501	133	1
7405	154	1
7405	145	1
7405	133	1
1132	155	1
1132	156	1
1132	157	1
18361	156	1
18361	158	1
18361	157	1
4060	156	1
4060	158	1
4060	157	1
5664	156	1
5664	158	1
5664	157	1
10970	156	1
10970	158	1
10970	157	1
20150	156	1
20150	158	1
20150	157	1
17571	156	1
17571	158	1
17571	157	1
16995	159	1
16995	160	1
16995	161	1
7868	159	1
7868	160	1
7868	161	1
1651	159	1
1651	160	1
1651	161	1
13451	159	1
13451	160	1
13451	161	1
18283	159	1
18283	160	1
18283	161	1
14334	159	1
14334	160	1
14334	161	1
17187	159	1
17187	160	1
17187	161	1
2742	159	1
2742	160	1
2742	161	1
8561	162	1
8561	158	1
8561	159	1
11837	163	1
11837	164	1
7665	163	1
7665	165	1
19590	166	1
19590	165	1
10397	166	1
10397	165	1
22742	163	1
22742	165	1
13240	166	1
13240	165	1
14991	163	1
14991	164	1
19065	167	1
19065	166	1
19065	123	1
17292	167	1
17292	166	1
17292	123	1
17114	167	1
17114	166	1
17114	123	1
5255	167	1
5255	166	1
5255	123	1
15773	167	1
15773	166	1
15773	123	1
3879	167	1
3879	166	1
3879	123	1
13956	167	1
13956	166	1
13956	123	1
19319	167	1
19319	166	1
19319	123	1
16243	168	1
16243	169	1
6803	170	1
6803	171	1
6803	172	1
6803	173	1
22838	170	1
22838	167	1
22838	168	1
911	170	1
911	172	1
911	173	1
911	166	1
11134	170	1
11134	171	1
